start_timestamp,original_round_index,original_test_id,merged_round_index,merged_test_id,step_evaluation,true_attack_type,predicted_attack_type,target_field,target_value,predicted_fail_score,absolute_error,ConstellationConfig,DegradedEdgeRatio,EdgeDisconnectRatio,EdgeBandwidthMeanDecreaseRatio,EdgeBandwidthDecreaseStd,PoissonRate,MeanIntervalTime,PacketGenerationInterval,PacketSizeMean,PacketSizeStd,StateObservationAttack_level,ActionAttack_level,StateTransferAttack_level,RewardAttack_level,ExperiencePoolAttack_level,ModelTampAttack_level,timestamp
20260516_100629,0,1,0,1,20260516_100629|round_000|test_0001,NoAttack,NoAttack,fused_score,0.0,0.04842038083222089,0.04842038083222089,0.2632573890801468,0.07479007555034499,0.08102339703204893,0.07155459990178827,0.0004534937438820984,0.03323519803808558,0.12381502775925352,0.1277463587020286,0.05424835051801618,0.01007362962728196,0.02167013078606244,0.0011496139521548665,0.03460736450754924,0.03418391149958777,0.04878919017458551,0.019402269127183316,2026-05-21T08:05:18+00:00
20260516_100629,1,2,1,2,20260516_100629|round_001|test_0002,RewardAttack,RewardAttack,fused_score,0.0,-0.044119600160774874,0.044119600160774874,0.0835953339242947,0.11232569141912578,0.020819477087669083,0.04758974009597602,0.09135408974379351,0.018231152289902235,0.021381434588669562,0.03615820996009657,0.07865740967669595,0.30513960998546,0.0009782707729414023,0.015197203556298828,0.03417675489337689,0.08464312197542868,0.017245499296778568,0.03250700073349215,2026-05-21T08:05:18+00:00
20260516_100629,1,3,1,3,20260516_100629|round_001|test_0003,StateObservationAttack,StateObservationAttack,fused_score,0.0,0.05608706109908107,0.05608706109908107,0.22248520128974855,0.01691734091339563,0.03223868240219693,0.15034666896410281,0.01838587352366957,0.021365088167580547,0.242019619344488,0.015083512856875751,0.044453497432385296,0.0007142819065719948,0.07588157172843189,0.0021289008158946313,0.01661546193641562,0.03702064345670782,0.08085148567267667,0.0234921695888583,2026-05-21T08:05:18+00:00
20260516_100629,1,4,1,4,20260516_100629|round_001|test_0004,NoAttack,NoAttack,fused_score,0.0,0.026699775487142086,0.026699775487142086,0.02333817759264489,0.17090681444258593,0.12153598624926926,0.19227441478006504,0.08150209374234274,0.016496047008277673,0.008319467335575455,0.03849113763002035,0.13335447656975244,0.05269561457849969,0.014069155861305962,0.04688496980711014,0.014334822681334432,0.020895581347280926,0.024914709823085964,0.03998653055084907,2026-05-21T08:05:18+00:00
20260516_100629,1,5,1,5,20260516_100629|round_001|test_0005,StateObservationAttack,StateObservationAttack,fused_score,0.0,0.03859059935310766,0.03859059935310766,0.3450600402236427,0.023984797801088132,0.011960761294201802,0.09685455114144219,0.0025824368790806898,0.020734986927110753,0.00233572589032818,0.019994155379155592,0.08529790724623812,0.007197775983722388,0.18544836236361606,0.04981013907959402,0.01028907889703528,0.07074306902911374,0.025524416411561054,0.042181795453069465,2026-05-21T08:05:18+00:00
20260516_100629,1,6,1,6,20260516_100629|round_001|test_0006,NoAttack,NoAttack,fused_score,0.0,0.008435252775337132,0.008435252775337132,0.08609962002021138,0.0023036857277210217,0.012846239221964817,0.09864248800234328,0.0459492436050678,0.06753370725813752,6.744185734042375e-05,0.45415886833571395,0.016125610997172926,0.019498494822006343,0.039573205752080655,0.03528243815555406,0.031463867692023084,0.017271826956564325,0.005443135782583989,0.0677401258135144,2026-05-21T08:05:18+00:00
20260516_100629,1,7,1,7,20260516_100629|round_001|test_0007,NoAttack,NoAttack,fused_score,0.0,0.05447112144728472,0.05447112144728472,0.19753747822312065,0.049302731255659205,0.0428157500478971,0.07577883801917461,0.008396385554782762,0.00513770383443297,0.06709519235214645,0.028974459273174828,0.3110195003805798,0.07220881254235753,0.008617943477138583,0.035836619566791746,0.00939641275165557,0.03159916944241905,0.02720466743207075,0.029078335846598427,2026-05-21T08:05:18+00:00
20260516_100629,1,8,1,8,20260516_100629|round_001|test_0008,ActionAttack,ActionAttack,fused_score,0.0,0.00605401848885001,0.00605401848885001,0.12565142426158862,0.024515470011220453,0.0463948248177135,0.12703679504421908,0.040051662430040894,0.12249210905378273,0.01046418788221617,0.015633488377792146,0.21467325621220712,0.030537519434880787,0.01998583401864049,0.12074699628873456,0.014737649904966652,0.01814294130529407,0.040930778785656,0.0280050621710468,2026-05-21T08:05:18+00:00
20260516_100629,1,9,1,9,20260516_100629|round_001|test_0009,NoAttack,NoAttack,fused_score,0.0,-0.004321136170415657,0.004321136170415657,0.07979950170464425,0.17438329400637503,0.0913246450178375,0.028712897781488805,0.19935341336168308,0.034734427425261866,0.2451305772042594,0.001173422555104892,0.03878344959051867,0.002346792297104512,0.010668901100425664,0.026432791378331297,0.0298775524896899,0.008602812146608305,0.02185982029050076,0.006815701650166086,2026-05-21T08:05:18+00:00
20260516_100629,1,10,1,10,20260516_100629|round_001|test_0010,NoAttack,NoAttack,fused_score,0.0,0.05502375137088389,0.05502375137088389,0.20240690398339567,0.016657462386286723,0.00474718363450751,0.14704970914191204,0.009968979659239074,0.11101875305668443,0.04285660553531943,0.010461599778555965,0.12714747426495385,0.159591424864477,0.00180581493113812,0.01513980935453033,0.055216177550557126,0.024392773509857305,0.038989902319162766,0.03254942602942283,2026-05-21T08:05:18+00:00
